OD (in),Length (in),Rate (lbs/in),Initial Tension (lbs),Sugg. Max. Defl. (in),Sugg. Max. Load (lbs),Wire Dia. (in)
0.42,1.13,13,1,0.74,11,0.046
0.42,1.13,11,0.9,0.59,7.4,0.046
0.42,1.25,9.8,1,1,11,0.046
0.42,1.25,8.3,0.9,0.79,7.4,0.046
0.42,1.38,8,1,1.2,11,0.046
0.42,1.38,6.8,0.9,0.97,7.4,0.046
0.42,1.5,6.8,1,1.4,11,0.046
0.42,1.5,5.8,0.9,1.1,7.4,0.046
0.42,1.75,5.1,1,1.9,11,0.046
0.42,1.75,4.3,0.9,1.5,7.4,0.046
0.42,2,4.1,1,2.4,11,0.046
0.42,2,3.5,0.9,1.9,7.4,0.046
0.42,2.25,3.4,1,2.9,11,0.046
0.42,2.25,2.9,0.9,2.3,7.4,0.046
0.42,2.5,2.9,1,3.4,11,0.046
0.42,2.5,2.5,0.9,2.7,7.4,0.046
0.42,2.75,2.6,1,3.8,11,0.046
0.42,2.75,2.2,0.9,3,7.4,0.046
0.42,3,2.3,1,4.4,11,0.046
0.42,3,1.9,0.9,3.4,7.4,0.046
0.42,1,43,1,0.36,17,0.055
0.42,1,36,1,0.28,12,0.055
0.42,1.13,31,1,0.5,17,0.055
0.42,1.13,26,1,0.4,12,0.055
0.42,1.25,24,1,0.64,17,0.055
0.42,1.25,20,1,0.51,12,0.055
0.42,1.38,20,1,0.78,17,0.055
0.42,1.38,17,1,0.62,12,0.055
0.42,1.5,17,1,0.92,17,0.055
0.42,1.5,14,1,0.73,12,0.055
0.42,1.75,13,1,1.2,17,0.055
0.42,1.75,11,1,0.95,12,0.055
0.42,2,11,1,1.5,17,0.055
0.42,2,9,1,1.2,12,0.055
0.42,2.25,8.9,1,1.7,17,0.055
0.42,2.25,7.6,1,1.4,12,0.055
0.42,2.5,7.6,1,2,17,0.055
0.42,2.5,6.5,1,1.6,12,0.055
0.42,2.75,6.7,1,2.3,17,0.055
0.42,2.75,5.7,1,1.8,12,0.055
0.42,3,6,1,2.6,17,0.055
0.42,3,5.1,1,2,12,0.055
0.5,1.25,2.1,0.3,1.7,3.9,0.034
0.5,1.25,1.8,0.3,1.3,2.7,0.034
0.5,1.38,1.6,0.3,2.3,3.9,0.034
0.5,1.38,1.3,0.3,1.8,2.7,0.034
0.5,1.5,1.2,0.3,3,3.9,0.034
0.5,1.5,1,0.3,2.4,2.7,0.034
0.5,1.75,0.8,0.3,4.6,3.9,0.034
0.5,1.75,0.68,0.3,3.6,2.7,0.034
0.5,2,0.61,0.3,6,3.9,0.034
0.5,2,0.51,0.3,4.7,2.7,0.034
0.5,2.25,0.5,0.3,7.3,3.9,0.034
0.5,2.25,0.42,0.3,5.7,2.7,0.034
0.5,1.25,2.9,0.4,1.5,4.8,0.037
0.5,1.25,2.5,0.3,1.2,3.3,0.037
0.5,1.38,2.2,0.4,2.1,4.8,0.037
0.5,1.5,1.7,0.4,2.6,4.8,0.037
0.5,1.75,1.2,0.4,3.7,4.8,0.037
0.5,1.75,1,0.3,2.9,3.3,0.037
0.5,2,0.95,0.4,4.7,4.8,0.037
0.5,2,0.81,0.3,3.7,3.3,0.037
0.5,2.25,0.78,0.4,5.7,4.8,0.037
0.5,2.25,0.67,0.3,4.5,3.3,0.037
0.5,2.5,0.7,0.4,6.3,4.8,0.037
0.5,2.5,0.6,0.3,5,3.3,0.037
0.5,2.75,0.6,0.4,7.4,4.8,0.037
0.5,2.75,0.51,0.3,5.8,3.3,0.037
0.5,3,0.5,0.4,8.9,4.8,0.037
0.5,3,0.43,0.3,7,3.3,0.037
0.5,3.5,0.4,0.4,11,4.8,0.037
0.5,3.5,0.34,0.3,8.8,3.3,0.037
0.5,4,0.3,0.4,15,4.8,0.037
0.5,4,0.26,0.3,12,3.3,0.037
0.5,4.5,0.3,0.4,15,4.8,0.037
0.5,4.5,0.26,0.3,12,3.3,0.037
0.5,5,0.2,0.4,22,4.8,0.037
0.5,5,0.17,0.3,18,3.3,0.037
0.5,1.25,4.9,0.5,1.2,6.5,0.041
0.5,1.25,4.1,0.4,0.98,4.5,0.041
0.5,1.38,3.7,0.5,1.6,6.5,0.041
0.5,1.38,3.1,0.4,1.3,4.5,0.041
0.5,1.5,2.9,0.5,2.1,6.5,0.041
0.5,1.5,2.5,0.4,1.6,4.5,0.041
0.5,1.75,2.1,0.5,2.9,6.5,0.041
0.5,1.75,1.7,0.4,2.3,4.5,0.041
0.5,2,1.6,0.5,3.9,6.5,0.041
0.5,2,1.3,0.4,3.1,4.5,0.041
0.5,2.25,1.3,0.5,4.6,6.5,0.041
0.5,2.25,1.1,0.4,3.7,4.5,0.041
0.5,2.5,1.1,0.5,5.4,6.5,0.041
0.5,2.5,0.94,0.4,4.3,4.5,0.041
0.5,2.75,0.98,0.5,6.1,6.5,0.041
0.5,2.75,0.83,0.4,4.8,4.5,0.041
0.5,3,0.8,0.5,7.5,6.5,0.041
0.5,3,0.68,0.4,5.9,4.5,0.041
0.5,3.5,0.7,0.5,8.6,6.5,0.041
0.5,3.5,0.6,0.4,6.8,4.5,0.041
0.5,4,0.6,0.5,10,6.5,0.041
0.5,4,0.51,0.4,7.9,4.5,0.041
0.5,4.5,0.5,0.5,12,6.5,0.041
0.5,4.5,0.43,0.4,9.5,4.5,0.041
0.5,5,0.4,0.5,15,6.5,0.041
0.5,5,0.34,0.4,12,4.5,0.041
0.5,1,22,0.7,0.36,8.6,0.045
0.5,1,19,0.6,0.29,5.9,0.045
0.5,1.25,8.5,0.7,0.93,8.6,0.045
0.5,1.25,7.2,0.6,0.74,5.9,0.045
0.5,1.38,5.7,0.7,1.4,8.6,0.045
0.5,1.5,4.7,0.7,1.7,8.6,0.045
0.5,1.5,4,0.6,1.3,5.9,0.045
0.5,1.75,3.4,0.7,2.4,8.6,0.045
0.5,2,2.6,0.7,3,8.6,0.045
0.5,2,2.2,0.6,2.4,5.9,0.045
0.5,2.25,2.1,0.7,3.8,8.6,0.045
0.5,2.5,1.8,0.7,4.4,8.6,0.045
0.5,2.5,1.5,0.6,3.5,5.9,0.045
0.5,2.75,1.6,0.7,5,8.6,0.045
0.5,2.75,1.3,0.6,4,5.9,0.045
0.5,3,1.4,0.7,5.7,8.6,0.045
0.5,3,1.2,0.6,4.5,5.9,0.045
0.5,3.5,1.1,0.7,7.2,8.6,0.045
0.5,3.5,0.94,0.6,5.7,5.9,0.045
0.5,4,0.9,0.7,8.8,8.6,0.045
0.5,4,0.77,0.6,7,5.9,0.045
0.5,4.5,0.8,0.7,9.9,8.6,0.045
0.5,4.5,0.68,0.6,7.8,5.9,0.045
0.5,5,0.7,0.7,11,8.6,0.045
0.5,5,0.6,0.6,8.9,5.9,0.045
0.5,1.25,13,0.9,0.78,11,0.049
0.5,1.25,11,0.7,0.61,7.5,0.049
0.5,1.38,10,0.9,0.99,11,0.049
0.5,1.38,8.6,0.7,0.78,7.5,0.049
0.5,1.5,7.5,0.9,1.3,11,0.049
0.5,1.5,6.4,0.7,1,7.5,0.049
0.5,1.75,5.3,0.9,1.9,11,0.049
0.5,1.75,4.5,0.7,1.5,7.5,0.049
0.5,2,4.1,0.9,2.4,11,0.049
0.5,2,3.5,0.7,1.9,7.5,0.049
0.5,2.25,3.4,0.9,3,11,0.049
0.5,2.25,2.8,0.7,2.4,7.5,0.049
0.5,2.5,2.8,0.9,3.6,11,0.049
0.5,2.5,2.4,0.7,2.8,7.5,0.049
0.5,2.75,2.4,0.9,4.2,11,0.049
0.5,2.75,2,0.7,3.3,7.5,0.049
0.5,3,2.1,0.9,4.7,11,0.049
0.5,3,1.8,0.7,3.7,7.5,0.049
0.5,3.5,1.7,0.9,5.8,11,0.049
0.5,3.5,1.5,0.7,4.6,7.5,0.049
0.5,4,1.4,0.9,7,11,0.049
0.5,4,1.2,0.7,5.5,7.5,0.049
0.5,4.5,1.2,0.9,8.3,11,0.049
0.5,4.5,1,0.7,6.6,7.5,0.049
0.5,5,1.1,0.9,9.1,11,0.049
0.5,5,0.94,0.7,7.2,7.5,0.049
0.5,1.25,23,1,0.58,14,0.055
0.5,1.25,19,1,0.46,9.9,0.055
0.5,1.38,16,1,0.84,14,0.055
0.5,1.38,13,1,0.66,9.9,0.055
0.5,1.5,13,1,1,14,0.055
0.5,1.5,11,1,0.8,9.9,0.055
0.5,1.75,9.2,1,1.4,14,0.055
0.5,1.75,7.8,1,1.1,9.9,0.055
0.5,2,7.4,1,1.8,14,0.055
0.5,2,6.3,1,1.4,9.9,0.055
0.5,2.25,6.1,1,2.2,14,0.055
0.5,2.5,5.2,1,2.5,14,0.055
0.5,2.5,4.4,1,2,9.9,0.055
0.5,2.75,4.5,1,2.9,14,0.055
0.5,3,3.9,1,3.4,14,0.055
0.5,3,3.3,1,2.7,9.9,0.055
0.5,3.5,3.2,1,4.1,14,0.055
0.5,4,2.7,1,4.9,14,0.055
0.5,4,2.3,1,3.8,9.9,0.055
0.5,4.5,2.3,1,5.7,14,0.055
0.5,4.5,2,1,4.5,9.9,0.055
0.5,5,2,1,6.4,14,0.055
0.5,5,1.7,1,5.1,9.9,0.055
0.5,1.25,44,2,0.45,21,0.063
0.5,1.25,37,2,0.35,15,0.063
0.5,1.38,31,2,0.62,21,0.063
0.5,1.38,27,2,0.49,15,0.063
0.5,1.5,26,2,0.76,21,0.063
0.5,1.5,22,2,0.6,15,0.063
0.5,1.75,19,2,1,21,0.063
0.5,1.75,16,2,0.82,15,0.063
0.5,2,15,2,1.3,21,0.063
0.5,2,13,2,1,15,0.063
0.5,2.25,12,2,1.6,21,0.063
0.5,2.25,10,2,1.3,15,0.063
0.5,2.5,11,2,1.9,21,0.063
0.5,2.5,9,2,1.5,15,0.063
0.5,2.75,9.2,2,2.1,21,0.063
0.5,2.75,7.8,2,1.7,15,0.063
0.5,3,8.2,2,2.4,21,0.063
0.5,3,6.9,2,1.9,15,0.063
0.5,3.5,6.7,2,2.9,21,0.063
0.5,3.5,5.7,2,2.3,15,0.063
0.5,4,5.6,2,3.5,21,0.063
0.5,4,4.7,2,2.8,15,0.063
0.5,4.5,4.8,2,4.1,21,0.063
0.5,4.5,4.1,2,3.2,15,0.063
0.5,5,4.3,2,4.6,21,0.063
0.5,5,3.6,2,3.6,15,0.063
0.5,1.25,55,4,0.42,27,0.067
0.5,1.25,47,3,0.33,19,0.067
0.5,1.5,36,4,0.66,27,0.067
0.5,1.5,30,3,0.52,19,0.067
0.5,1.75,26,4,0.89,27,0.067
0.5,1.75,22,3,0.7,19,0.067
0.5,2,21,4,1.1,27,0.067
0.5,2,18,3,0.89,19,0.067
0.5,2.25,17,4,1.4,27,0.067
0.5,2.25,15,3,1.1,19,0.067
0.5,2.5,15,4,1.6,27,0.067
0.5,2.5,12,3,1.3,19,0.067
0.5,2.75,13,4,1.8,27,0.067
0.5,2.75,11,3,1.4,19,0.067
0.5,3,11,4,2.1,27,0.067
0.5,3,9.6,3,1.6,19,0.067
0.5,3.5,9.2,4,2.5,27,0.067
0.5,3.5,7.8,3,2,19,0.067
0.5,4,7.8,4,3,27,0.067
0.5,4,6.6,3,2.4,19,0.067
0.5,4.5,6.7,4,3.5,27,0.067
0.5,4.5,5.7,3,2.8,19,0.067
0.5,5,5.9,4,4,27,0.067
0.5,5,5,3,3.1,19,0.067
0.5,1.25,74,2,0.34,28,0.069
0.5,1.25,63,2,0.27,19,0.069
0.5,1.38,54,2,0.47,28,0.069
0.5,1.38,46,2,0.37,19,0.069
0.5,1.5,45,2,0.56,28,0.069
0.5,1.5,38,2,0.44,19,0.069
0.5,1.75,31,2,0.81,28,0.069
0.5,1.75,27,2,0.64,19,0.069
0.5,2,25,2,1,28,0.069
0.5,2,21,2,0.81,19,0.069
0.5,2.25,20,2,1.3,28,0.069
0.5,2.25,17,2,0.99,19,0.069
0.5,2.5,17,2,1.5,28,0.069
0.5,2.5,15,2,1.2,19,0.069
0.5,2.75,15,2,1.7,28,0.069
0.5,2.75,13,2,1.4,19,0.069
0.5,3,13,2,1.9,28,0.069
0.5,3,11,2,1.5,19,0.069
0.5,3.5,11,2,2.4,28,0.069
0.5,3.5,9.1,2,1.9,19,0.069
0.5,4,8.9,2,2.9,28,0.069
0.5,4,7.6,2,2.3,19,0.069
0.5,4.5,7.8,2,3.3,28,0.069
0.5,4.5,6.6,2,2.6,19,0.069
0.5,5,6.8,2,3.7,28,0.069
0.5,5,5.8,2,3,19,0.069
0.5,1.25,108,3,0.28,33,0.075
0.5,1.25,92,2,0.22,22,0.075
0.5,1.38,85,3,0.36,33,0.075
0.5,1.38,72,2,0.28,22,0.075
0.5,1.5,70,3,0.44,33,0.075
0.5,1.5,59,2,0.34,22,0.075
0.5,1.75,49,3,0.61,33,0.075
0.5,1.75,42,2,0.48,22,0.075
0.5,2,38,3,0.79,33,0.075
0.5,2,32,2,0.62,22,0.075
0.5,2.25,32,3,0.95,33,0.075
0.5,2.25,27,2,0.74,22,0.075
0.5,2.5,27,3,1.1,33,0.075
0.5,2.5,23,2,0.88,22,0.075
0.5,2.75,23,3,1.3,33,0.075
0.5,2.75,20,2,1,22,0.075
0.5,3,21,3,1.5,33,0.075
0.5,3,18,2,1.1,22,0.075
0.5,3.5,17,3,1.8,33,0.075
0.5,3.5,14,2,1.4,22,0.075
0.5,4,14,3,2.2,33,0.075
0.5,4,12,2,1.7,22,0.075
0.5,4.5,12,3,2.5,33,0.075
0.5,4.5,10,2,1.9,22,0.075
0.5,5,11,3,2.8,33,0.075
0.5,5,9.1,2,2.2,22,0.075
0.5,4,1.4,0.9,7,11,0.049
0.5,4,1.2,0.7,5.5,7.5,0.049
0.625,1.5,9.8,1,1.1,12,0.055
0.625,1.5,8.3,0.9,0.87,8.1,0.055
0.625,1.75,6.1,1,1.8,12,0.055
0.625,1.75,5.2,0.9,1.4,8.1,0.055
0.625,2,4.5,1,2.4,12,0.055
0.625,2,3.8,0.9,1.9,8.1,0.055
0.625,2.25,3.5,1,3.1,12,0.055
0.625,2.25,3,0.9,2.4,8.1,0.055
0.625,2.5,2.9,1,3.7,12,0.055
0.625,2.5,2.5,0.9,2.9,8.1,0.055
0.625,2.75,2.5,1,4.3,12,0.055
0.625,2.75,2.1,0.9,3.4,8.1,0.055
0.625,3,2.1,1,5.1,12,0.055
0.625,3,1.8,0.9,4.1,8.1,0.055
0.625,3.5,1.7,1,6.4,12,0.055
0.625,3.5,1.4,0.9,5,8.1,0.055
0.625,4,1.4,1,7.7,12,0.055
0.625,4,1.2,0.9,6.1,8.1,0.055
0.625,1.5,18,1,0.87,17,0.063
0.625,1.5,16,1,0.68,12,0.063
0.625,1.75,12,1,1.4,17,0.063
0.625,1.75,9.9,1,1.1,12,0.063
0.625,2,8.9,2,1.8,17,0.063
0.625,2,7.6,1,1.4,12,0.063
0.625,2.25,6.7,2,2.4,17,0.063
0.625,2.25,5.7,1,1.9,12,0.063
0.625,2.5,5.8,2,2.7,17,0.063
0.625,2.5,4.9,1,2.2,12,0.063
0.625,2.75,4.9,2,3.2,17,0.063
0.625,2.75,4.2,1,2.6,12,0.063
0.625,3,4.3,2,3.7,17,0.063
0.625,3,3.7,1,2.9,12,0.063
0.625,3.5,3.4,2,4.7,17,0.063
0.625,3.5,2.9,1,3.7,12,0.063
0.625,4,2.9,2,5.5,17,0.063
0.625,4,2.5,1,4.3,12,0.063
0.625,4.5,2.4,2,6.6,17,0.063
0.625,4.5,2,1,5.2,12,0.063
0.625,5,2.1,2,7.4,17,0.063
0.625,5,1.8,1,5.9,12,0.063
0.625,1.75,19,2,1.1,23,0.069
0.625,1.75,16,2,0.88,16,0.069
0.625,2,14,2,1.5,23,0.069
0.625,2,12,2,1.2,16,0.069
0.625,2.25,11,2,1.8,23,0.069
0.625,2.25,9.6,2,1.4,16,0.069
0.625,2.5,9.4,2,2.2,23,0.069
0.625,2.5,8,2,1.7,16,0.069
0.625,2.75,8.1,2,2.6,23,0.069
0.625,2.75,6.9,2,2,16,0.069
0.625,3,7.1,2,2.9,23,0.069
0.625,3,6,2,2.3,16,0.069
0.625,3.5,5.6,2,3.7,23,0.069
0.625,3.5,4.8,2,2.9,16,0.069
0.625,4,4.6,2,4.5,23,0.069
0.625,4,3.9,2,3.6,16,0.069
0.625,4.5,4,2,5.2,23,0.069
0.625,4.5,3.4,2,4.1,16,0.069
0.625,5,3.5,2,6,23,0.069
0.625,5,2.9,2,4.7,16,0.069
0.65,1.5,13,0.9,0.78,11,0.055
0.65,1.5,11,0.8,0.61,7.8,0.055
0.65,1.75,6.8,0.9,1.5,11,0.055
0.65,1.75,5.8,0.8,1.2,7.8,0.055
0.65,2,4.1,0.9,2.5,11,0.055
0.65,2,3.5,0.8,2,7.8,0.055
0.65,2.25,3.2,0.9,3.3,11,0.055
0.65,2.25,2.7,0.8,2.6,7.8,0.055
0.65,2.5,2.6,0.9,4,11,0.055
0.65,2.5,2.2,0.8,3.2,7.8,0.055
0.65,2.75,2.2,0.9,4.7,11,0.055
0.65,2.75,1.9,0.8,3.7,7.8,0.055
0.65,3,1.9,0.9,5.5,11,0.055
0.65,3,1.6,0.8,4.3,7.8,0.055
0.65,3.5,1.5,0.9,6.9,11,0.055
0.65,3.5,1.3,0.8,5.5,7.8,0.055
0.65,4,1.2,0.9,8.7,11,0.055
0.65,4,1,0.8,6.9,7.8,0.055
0.65,1.5,25,1,0.62,17,0.063
0.65,1.5,21,1,0.49,11,0.063
0.65,1.75,13,1,1.2,17,0.063
0.65,1.75,11,1,0.91,11,0.063
0.65,2,8.3,1,1.8,17,0.063
0.65,2,7.1,1,1.5,11,0.063
0.65,2.25,6.4,1,2.4,17,0.063
0.65,2.25,5.4,1,1.9,11,0.063
0.65,2.5,5.3,1,2.9,17,0.063
0.65,2.5,4.5,1,2.3,11,0.063
0.65,2.75,4.4,1,3.5,17,0.063
0.65,2.75,3.7,1,2.7,11,0.063
0.65,3,3.8,1,4,17,0.063
0.65,3,3.2,1,3.2,11,0.063
0.65,3.5,3,1,5.1,17,0.063
0.65,3.5,2.6,1,4,11,0.063
0.65,4,2.5,1,6.1,17,0.063
0.65,4,2.1,1,4.8,11,0.063
0.65,4.5,2.1,1,7.3,17,0.063
0.65,4.5,1.8,1,5.7,11,0.063
0.65,5,1.9,1,8,17,0.063
0.65,5,1.6,1,6.3,11,0.063
0.65,1.75,21,2,0.97,22,0.069
0.65,1.75,18,2,0.76,15,0.069
0.65,2,14,2,1.4,22,0.069
0.65,2,12,2,1.1,15,0.069
0.65,2.25,11,2,1.8,22,0.069
0.65,2.25,9.3,2,1.4,15,0.069
0.65,2.5,8.8,2,2.3,22,0.069
0.65,2.5,7.5,2,1.8,15,0.069
0.65,2.75,7.4,2,2.7,22,0.069
0.65,2.75,6.3,2,2.1,15,0.069
0.65,3,6.4,2,3.1,22,0.069
0.65,3,5.4,2,2.5,15,0.069
0.65,3.5,5,2,4,22,0.069
0.65,3.5,4.3,2,3.2,15,0.069
0.65,4,4.1,2,4.9,22,0.069
0.65,4,3.5,2,3.8,15,0.069
0.65,4.5,3.5,2,5.7,22,0.069
0.65,4.5,3,2,4.5,15,0.069
0.65,5,3,2,6.7,22,0.069
0.65,5,2.6,2,5.3,15,0.069
0.75,2,2.3,0.6,3,7.6,0.049
0.75,2,2,0.5,2.4,5.2,0.049
0.75,2.25,1.5,0.6,4.7,7.6,0.049
0.75,2.25,1.3,0.5,3.7,5.2,0.049
0.75,2.5,1.2,0.6,5.8,7.6,0.049
0.75,2.5,1,0.5,4.6,5.2,0.049
0.75,2.75,0.9,0.6,7.8,7.6,0.049
0.75,2.75,0.77,0.5,6.2,5.2,0.049
0.75,3,0.8,0.6,8.8,7.6,0.049
0.75,3,0.68,0.5,6.9,5.2,0.049
0.75,3.25,0.7,0.6,10,7.6,0.049
0.75,3.25,0.6,0.5,7.9,5.2,0.049
0.75,3.5,0.6,0.6,12,7.6,0.049
0.75,3.5,0.51,0.5,9.3,5.2,0.049
0.75,2,3.4,0.8,2.7,9.9,0.055
0.75,2,2.8,0.7,2.1,6.8,0.055
0.75,2.25,2.5,0.8,3.7,9.9,0.055
0.75,2.25,2.1,0.7,2.9,6.8,0.055
0.75,2.5,2,0.8,4.7,9.9,0.055
0.75,2.5,1.7,0.7,3.7,6.8,0.055
0.75,2.75,1.6,0.8,5.9,9.9,0.055
0.75,2.75,1.3,0.7,4.6,6.8,0.055
0.75,3,1.4,0.8,6.7,9.9,0.055
0.75,3,1.1,0.7,5.3,6.8,0.055
0.75,3.5,1,0.8,9.1,9.9,0.055
0.75,2,6.6,1,2.1,15,0.063
0.75,2.25,4.9,1,2.8,15,0.063
0.75,2.25,4.1,1,2.2,10,0.063
0.75,2.5,3.8,1,3.6,15,0.063
0.75,2.5,3.2,1,2.9,10,0.063
0.75,2.75,3.2,1,4.2,15,0.063
0.75,2.75,2.7,1,3.4,10,0.063
0.75,3,2.7,1,5.1,15,0.063
0.75,3,2.3,1,4,10,0.063
0.75,3.5,2.1,1,6.6,15,0.063
0.75,3.5,1.7,1,5.2,10,0.063
0.75,4,1.7,1,8,15,0.063
0.75,4,1.4,1,6.3,10,0.063
0.75,4.5,1.4,1,9.7,15,0.063
0.75,4.5,1.2,1,7.7,10,0.063
0.75,5,1.2,1,11,15,0.063
0.75,5,1,1,8.9,10,0.063
0.75,5.5,1.1,1,12,15,0.063
0.75,5.5,0.94,1,9.8,10,0.063
0.75,2,11,2,1.6,19,0.069
0.75,2,9.5,1,1.2,13,0.069
0.75,2.25,8.1,2,2.2,19,0.069
0.75,2.25,6.9,1,1.7,13,0.069
0.75,2.5,6.4,2,2.7,19,0.069
0.75,2.5,5.4,1,2.2,13,0.069
0.75,2.75,5.2,2,3.3,19,0.069
0.75,2.75,4.4,1,2.6,13,0.069
0.75,3,4.4,2,4,19,0.069
0.75,3,3.7,1,3.1,13,0.069
0.75,3.5,3.4,2,5.2,19,0.069
0.75,3.5,2.9,1,4.1,13,0.069
0.75,4,2.8,2,6.3,19,0.069
0.75,4,2.4,1,5,13,0.069
0.75,4.5,2.3,2,7.6,19,0.069
0.75,4.5,2,1,6,13,0.069
0.75,5,2,2,8.7,19,0.069
0.75,5,1.7,1,6.9,13,0.069
0.75,5.5,1.8,2,9.9,19,0.069
0.75,5.5,1.5,1,7.8,13,0.069
0.75,2,16,2,1.3,23,0.075
0.75,2,14,2,1,16,0.075
0.75,2.25,12,2,1.8,23,0.075
0.75,2.25,10,2,1.4,16,0.075
0.75,2.5,9.3,2,2.3,23,0.075
0.75,2.5,7.9,2,1.8,16,0.075
0.75,2.75,7.9,2,2.7,23,0.075
0.75,3,6.7,2,3.2,23,0.075
0.75,3,5.7,2,2.5,16,0.075
0.75,3.5,5.2,2,4.1,23,0.075
0.75,4,4.3,2,5,23,0.075
0.75,4.5,3.6,2,6,23,0.075
0.75,4.5,3,2,4.7,16,0.075
0.75,5,3.1,2,6.9,23,0.075
0.75,5.5,2.7,2,7.8,23,0.075
0.75,5.5,2.3,2,6.1,16,0.075
0.75,6,2.4,2,8.8,23,0.075
0.75,6,2.1,2,6.8,16,0.075
0.75,2,33,3,0.94,34,0.085
0.75,2,28,2,0.73,23,0.085
0.75,2.25,24,3,1.3,34,0.085
0.75,2.25,20,2,1,23,0.085
0.75,2.5,19,3,1.6,34,0.085
0.75,2.5,16,2,1.3,23,0.085
0.75,2.75,15,3,2,34,0.085
0.75,2.75,13,2,1.6,23,0.085
0.75,3,13,3,2.3,34,0.085
0.75,3,11,2,1.8,23,0.085
0.75,3.5,10,3,3.1,34,0.085
0.75,3.5,8.5,2,2.4,23,0.085
0.75,4,8.2,3,3.7,34,0.085
0.75,4,7,2,2.9,23,0.085
0.75,4.5,6.9,3,4.4,34,0.085
0.75,4.5,5.9,2,3.5,23,0.085
0.75,5,6,3,5.1,34,0.085
0.75,5,5.1,2,4,23,0.085
0.75,2,46,4,0.84,42,0.093
0.75,2,39,3,0.65,28,0.093
0.75,2.25,35,4,1.1,42,0.093
0.75,2.25,30,3,0.84,28,0.093
0.75,2.5,28,4,1.4,42,0.093
0.75,2.5,23,3,1.1,28,0.093
0.75,2.75,24,4,1.6,42,0.093
0.75,2.75,20,3,1.3,28,0.093
0.75,3,20,4,1.9,42,0.093
0.75,3,17,3,1.4,28,0.093
0.75,3.5,16,4,2.4,42,0.093
0.75,3.5,13,3,1.9,28,0.093
0.75,4,13,4,3,42,0.093
0.75,4,11,3,2.3,28,0.093
0.75,4.5,11,4,3.5,42,0.093
0.75,4.5,9.3,3,2.7,28,0.093
0.75,5,9.6,4,4,42,0.093
0.75,5,8.2,3,3.1,28,0.093
0.75,2,60,4,0.69,44,0.095
0.75,2,51,3,0.53,30,0.095
0.75,2.25,44,4,0.93,44,0.095
0.75,2.25,37,3,0.71,30,0.095
0.75,2.5,33,4,1.2,44,0.095
0.75,2.5,28,3,0.94,30,0.095
0.75,2.75,28,4,1.5,44,0.095
0.75,2.75,24,3,1.1,30,0.095
0.75,3,24,4,1.7,44,0.095
0.75,3,20,3,1.3,30,0.095
0.75,3.5,18,4,2.3,44,0.095
0.75,3.5,15,3,1.7,30,0.095
0.75,4,15,4,2.7,44,0.095
0.75,4,13,3,2.1,30,0.095
0.75,4.5,12,4,3.3,44,0.095
0.75,4.5,11,3,2.5,30,0.095
0.75,5,11,4,3.8,44,0.095
0.75,5,9.2,3,2.9,30,0.095
0.75,5.5,9.5,4,4.3,44,0.095
0.75,5.5,8.1,3,3.3,30,0.095
0.75,6,8.5,4,4.8,44,0.095
0.75,6,7.2,3,3.7,30,0.095
0.75,2,92,5,0.59,60,0.105
0.75,2,78,5,0.46,40,0.105
0.75,2.25,68,5,0.8,60,0.105
0.75,2.25,58,5,0.62,40,0.105
0.75,2.5,54,5,1,60,0.105
0.75,2.5,46,5,0.77,40,0.105
0.75,2.75,45,5,1.2,60,0.105
0.75,2.75,38,5,0.93,40,0.105
0.75,3,39,5,1.4,60,0.105
0.75,3,33,5,1.1,40,0.105
0.75,3.5,30,5,1.8,60,0.105
0.75,3.5,26,5,1.4,40,0.105
0.75,4,25,5,2.2,60,0.105
0.75,4,21,5,1.7,40,0.105
0.75,4.5,21,5,2.6,60,0.105
0.75,4.5,18,5,2,40,0.105
0.75,5,18,5,3,60,0.105
0.75,5,15,5,2.3,40,0.105
0.75,2,151,6,0.44,73,0.115
0.75,2,128,5,0.34,48,0.115
0.75,2.25,116,6,0.58,73,0.115
0.75,2.25,98,5,0.44,48,0.115
0.75,2.5,89,6,0.75,73,0.115
0.75,2.5,76,5,0.57,48,0.115
0.75,2.75,76,6,0.89,73,0.115
0.75,2.75,64,5,0.67,48,0.115
0.75,3,66,6,1,73,0.115
0.75,3,56,5,0.77,48,0.115
0.75,3.5,50,6,1.3,73,0.115
0.75,3.5,43,5,1,48,0.115
0.75,4,41,6,1.6,73,0.115
0.75,4,35,5,1.2,48,0.115
0.75,4.5,35,6,1.9,73,0.115
0.75,4.5,30,5,1.4,48,0.115
0.75,5,30,6,2.2,73,0.115
0.75,5,26,5,1.7,48,0.115
0.75,5.5,27,6,2.5,73,0.115
0.75,5.5,23,5,1.9,48,0.115
0.75,6,24,6,2.8,73,0.115
0.75,6,20,5,2.1,48,0.115
0.75,2,240,19,0.3,91,0.125
0.75,2,204,7,0.27,61,0.125
0.75,2.25,180,8,0.48,93,0.125
0.75,2.25,153,7,0.36,61,0.125
0.75,2.5,144,8,0.59,93,0.125
0.75,2.5,122,7,0.45,61,0.125
0.75,2.75,120,8,0.71,93,0.125
0.75,2.75,102,7,0.54,61,0.125
0.75,3,103,8,0.83,93,0.125
0.75,3,87,7,0.63,61,0.125
0.75,3.5,80,8,1.1,93,0.125
0.75,3.5,68,7,0.81,61,0.125
0.75,4,65,8,1.3,93,0.125
0.75,4,56,7,0.99,61,0.125
